id_cafes;nombre;pais;variedad;presentacion;notas_sabor;altitud
507;Cumbre del Valle Sagrado 507;Perú;Maragogipe;grano;terroso|especias|chocolate;1400–1800 msnm
508;Cumbre del Río 508;Honduras;Geisha;cápsula;floral|jazmín|cítrico;1300–1600 msnm
509;Puerta del Horizonte Azul 509;Colombia;Maragogipe;grano;panela|frutal|cacao;1000–1400 msnm
510;Jaguar Real 510;Honduras;Geisha;grano;cítrico|floral|miel;1000–1400 msnm
511;Puerta del Viento 511;Brasil;Bourbon;grano;caramelo|nuez|chocolate;1400–1800 msnm
512;Cosecha Dorada 512;Brasil;Mundo Novo;grano;floral|té negro|frutal;1400–1800 msnm
513;Aurora del Norte 513;Guatemala;Mundo Novo;molido;chocolate|nuez|vainilla;1600–2000 msnm
514;Mirador del Encanto Andino 514;Honduras;Villalobos;cápsula;chocolate|nuez|vainilla;1400–1800 msnm
515;Montaña del Sur 515;Honduras;Bourbon;grano;floral|jazmín|cítrico;1300–1600 msnm
516;Sol Mística 516;Guatemala;Catuai;molido;frutal|caramelo|vino tinto;900–1200 msnm
517;Travesía del Sur 517;Perú;Bourbon;cápsula;floral|té negro|frutal;1500–1900 msnm
518;Mística Suprema 518;Brasil;Villalobos;cápsula;terroso|especias|chocolate;1700–2100 msnm
519;Aroma del Volcán 519;Costa Rica;Maragogipe;molido;cítrico|floral|miel;1500–1900 msnm
520;Brisa del Mar 520;México;Maragogipe;grano;frutal|miel|cítrico;1700–2100 msnm
521;Valle del Cóndor 521;Guatemala;Caturra;cápsula;cítrico|floral|miel;1200–1500 msnm
522;Estrella del Corazón 522;Bolivia;Bourbon;molido;panela|frutal|cacao;1400–1800 msnm
523;Travesía del Encanto Andino 523;El Salvador;Typica;molido;frutal|caramelo|vino tinto;1500–1900 msnm
524;Selva del Horizonte 524;Brasil;Pacamara;cápsula;panela|frutal|cacao;900–1200 msnm
525;Cumbre del Horizonte Dorado 525;México;Castillo;grano;floral|jazmín|cítrico;1500–1900 msnm
526;Cedro del Jaguar 526;Ecuador;Catuai;molido;chocolate|nuez|vainilla;1600–2000 msnm
527;Mirador Verde 527;Guatemala;Castillo;molido;floral|té negro|frutal;900–1200 msnm
528;Estrella del Bosque Alto 528;México;Geisha;cápsula;caramelo|nuez|chocolate;1200–1500 msnm
529;Cedro del Bosque Alto 529;Guatemala;Caturra;molido;chocolate|nuez|vainilla;1200–1500 msnm
530;Cacao del Corazón 530;Honduras;Geisha;molido;frutal|miel|cítrico;1600–2000 msnm
531;Fuente del Horizonte 531;Costa Rica;Geisha;cápsula;floral|té negro|frutal;1500–1900 msnm
532;Puerta del Oeste 532;Honduras;Castillo;grano;caramelo|nuez|chocolate;1300–1600 msnm
533;Sol del Alba 533;Costa Rica;Caturra;grano;panela|frutal|cacao;1600–2000 msnm
534;Perla Clásica 534;Perú;Villalobos;grano;floral|té negro|frutal;1200–1500 msnm
535;Fuego del Mar 535;Guatemala;Castillo;molido;chocolate|nuez|vainilla;900–1200 msnm
536;Cedro del Ande 536;Ecuador;Villalobos;grano;caramelo|nuez|chocolate;1200–1500 msnm
537;Sierra del Horizonte Azul 537;Ecuador;Maragogipe;molido;caramelo|nuez|chocolate;1600–2000 msnm
538;Sol Verde 538;Ecuador;Bourbon;grano;floral|jazmín|cítrico;1600–2000 msnm
539;Horizonte del Horizonte Azul 539;Ecuador;Pacamara;molido;frutal|miel|cítrico;1000–1400 msnm
540;Valle del Paraíso 540;Bolivia;Maragogipe;cápsula;frutal|caramelo|vino tinto;1300–1600 msnm
541;Fuente del Trópico 541;Honduras;Caturra;cápsula;floral|té negro|frutal;900–1200 msnm
542;Altura del Cóndor 542;Bolivia;Caturra;molido;cítrico|floral|miel;1300–1600 msnm
543;Cedro Nevada 543;El Salvador;Maragogipe;molido;chocolate|nuez|vainilla;1700–2100 msnm
544;Camino del Sol Naciente 544;Nicaragua;Catuai;molido;caramelo|nuez|chocolate;900–1200 msnm
545;Cedro del Trópico 545;El Salvador;Pacamara;molido;floral|jazmín|cítrico;1500–1900 msnm
546;Valle del Mundo 546;Honduras;Catuai;grano;panela|frutal|cacao;900–1200 msnm
547;Fuente del Mar 547;Ecuador;Maragogipe;grano;frutal|chocolate|floral;1700–2100 msnm
548;Brisa del Horizonte Azul 548;Guatemala;Castillo;molido;frutal|caramelo|vino tinto;1000–1400 msnm
549;Perla del Horizonte Dorado 549;Honduras;Pacamara;cápsula;chocolate|nuez|vainilla;1700–2100 msnm
550;Sendero del Valle Sagrado 550;Honduras;Caturra;cápsula;floral|té negro|frutal;1200–1500 msnm
551;Cóndor del Valle 551;Brasil;Caturra;cápsula;terroso|especias|chocolate;1500–1900 msnm
552;Sol del Camino 552;Brasil;Castillo;grano;panela|frutal|cacao;1600–2000 msnm
553;Trueno del Volcán 553;Nicaragua;Villalobos;cápsula;frutal|caramelo|vino tinto;1500–1900 msnm
554;Brisa Verde 554;El Salvador;Mundo Novo;grano;panela|frutal|cacao;1700–2100 msnm
555;Nube del Oro 555;Brasil;Geisha;grano;frutal|chocolate|floral;900–1200 msnm
556;Río del Bosque Alto 556;Bolivia;Geisha;grano;terroso|especias|chocolate;1000–1400 msnm
557;Perla del Sur 557;Brasil;Pacamara;molido;chocolate|nuez|vainilla;1300–1600 msnm
558;Cascada del Norte 558;Costa Rica;Castillo;molido;cítrico|floral|miel;1700–2100 msnm
559;Perla Encantada 559;Brasil;Pacamara;grano;cítrico|floral|miel;1200–1500 msnm
560;Reserva del Oeste 560;El Salvador;Villalobos;grano;floral|jazmín|cítrico;1500–1900 msnm
561;Cumbre del Bosque 561;Guatemala;Maragogipe;cápsula;floral|jazmín|cítrico;1300–1600 msnm
562;Colibrí del Valle Sagrado 562;Brasil;Pacamara;grano;caramelo|nuez|chocolate;1300–1600 msnm
563;Mirador del Río Grande 563;Ecuador;Catuai;grano;caramelo|nuez|chocolate;1200–1500 msnm
564;Cascada Real 564;México;Pacamara;molido;frutal|caramelo|vino tinto;1300–1600 msnm
565;Rayo del Este 565;Perú;Geisha;molido;frutal|caramelo|vino tinto;1500–1900 msnm
566;Estrella Andina 566;Ecuador;Catuai;grano;frutal|miel|cítrico;1300–1600 msnm
567;Perla del Encanto Andino 567;Brasil;Maragogipe;grano;panela|frutal|cacao;900–1200 msnm
568;Ceiba Tropical 568;Guatemala;Pacamara;grano;cítrico|floral|miel;1000–1400 msnm
569;Río del Espíritu 569;Ecuador;Catuai;cápsula;floral|jazmín|cítrico;1000–1400 msnm
570;Sol del Café 570;Perú;Maragogipe;grano;caramelo|nuez|chocolate;1000–1400 msnm
571;Jaguar del Volcán 571;México;Pacamara;grano;floral|té negro|frutal;1000–1400 msnm
572;Fuente del Viento 572;Brasil;Geisha;grano;terroso|especias|chocolate;1500–1900 msnm
573;Altura del Bosque Alto 573;Colombia;Pacamara;molido;frutal|miel|cítrico;1000–1400 msnm
574;Aroma del Sur 574;Honduras;Pacamara;cápsula;caramelo|nuez|chocolate;1500–1900 msnm
575;Fuente del Volcán 575;México;Castillo;cápsula;cítrico|floral|miel;1300–1600 msnm
576;Fuente Suprema 576;Honduras;Typica;cápsula;panela|frutal|cacao;1000–1400 msnm
577;Tesoro del Paraíso 577;Costa Rica;Mundo Novo;molido;frutal|caramelo|vino tinto;1500–1900 msnm
578;Guacamayo del Café 578;Bolivia;Mundo Novo;molido;floral|jazmín|cítrico;1500–1900 msnm
579;Maíz del Café 579;Honduras;Catuai;cápsula;chocolate|nuez|vainilla;1600–2000 msnm
580;Corazón del Café 580;Costa Rica;Mundo Novo;cápsula;terroso|especias|chocolate;1500–1900 msnm
581;Valle del Cacao 581;Guatemala;Bourbon;grano;frutal|chocolate|floral;1600–2000 msnm
582;Cóndor del Camino 582;Costa Rica;Typica;cápsula;frutal|caramelo|vino tinto;1500–1900 msnm
583;Sierra del Oeste 583;Perú;Caturra;molido;caramelo|nuez|chocolate;1600–2000 msnm
584;Guacamayo del Amanecer 584;Bolivia;Pacamara;molido;panela|frutal|cacao;1600–2000 msnm
585;Fuente del Oeste 585;Honduras;Caturra;cápsula;panela|frutal|cacao;1000–1400 msnm
586;Quetzal del Maíz 586;México;Maragogipe;cápsula;cítrico|floral|miel;1400–1800 msnm
587;Sol del Volcán 587;Perú;Bourbon;grano;chocolate|nuez|vainilla;1500–1900 msnm
588;Encanto Tropical 588;Honduras;Catuai;cápsula;panela|frutal|cacao;1600–2000 msnm
589;Fuente del Cóndor 589;Colombia;Bourbon;grano;frutal|miel|cítrico;1200–1500 msnm
590;Joya del Tesoro 590;Honduras;Bourbon;molido;panela|frutal|cacao;1700–2100 msnm
591;Leyenda del Lago 591;México;Geisha;cápsula;floral|jazmín|cítrico;1700–2100 msnm
592;Sierra del Valle Sagrado 592;Ecuador;Caturra;grano;panela|frutal|cacao;1400–1800 msnm
593;Fuente del Camino 593;Colombia;Typica;cápsula;frutal|chocolate|floral;1600–2000 msnm
594;Luz del Cóndor 594;El Salvador;Caturra;cápsula;cítrico|floral|miel;1400–1800 msnm
595;Perla Nevada 595;Ecuador;Villalobos;cápsula;frutal|chocolate|floral;1700–2100 msnm
596;Luz del Valle 596;México;Geisha;molido;terroso|especias|chocolate;900–1200 msnm
597;Rincón del Café 597;Nicaragua;Typica;grano;panela|frutal|cacao;1600–2000 msnm
598;Valle del Alba 598;Ecuador;Maragogipe;cápsula;frutal|miel|cítrico;1600–2000 msnm
599;Valle Mística 599;Perú;Catuai;cápsula;floral|té negro|frutal;1600–2000 msnm
600;Mirador Nevada 600;México;Maragogipe;grano;chocolate|nuez|vainilla;1000–1400 msnm
601;Rincón del Paraíso 601;Nicaragua;Geisha;cápsula;panela|frutal|cacao;1700–2100 msnm
602;Cedro del Maíz 602;México;Villalobos;grano;floral|jazmín|cítrico;1200–1500 msnm
603;Corazón Andina 603;Ecuador;Pacamara;molido;floral|té negro|frutal;1400–1800 msnm
604;Flor del Bosque 604;Perú;Bourbon;molido;frutal|miel|cítrico;1600–2000 msnm
605;Aurora del Horizonte Azul 605;Honduras;Maragogipe;molido;caramelo|nuez|chocolate;900–1200 msnm
606;Cumbre del Bosque Alto 606;Ecuador;Bourbon;cápsula;cítrico|floral|miel;1600–2000 msnm
607;Rincón del Horizonte Azul 607;El Salvador;Catuai;cápsula;floral|jazmín|cítrico;1500–1900 msnm
608;Vereda del Este 608;Costa Rica;Maragogipe;molido;chocolate|nuez|vainilla;1500–1900 msnm
609;Montaña del Jaguar 609;Costa Rica;Catuai;grano;frutal|chocolate|floral;1500–1900 msnm
610;Leyenda del Tesoro 610;Brasil;Caturra;cápsula;panela|frutal|cacao;1600–2000 msnm
611;Rayo del Café Especial 611;Brasil;Castillo;grano;chocolate|nuez|vainilla;1600–2000 msnm
612;Mirador del Valle 612;Colombia;Caturra;cápsula;cítrico|floral|miel;1000–1400 msnm
613;Esencia del Cóndor 613;Guatemala;Typica;grano;chocolate|nuez|vainilla;1300–1600 msnm
614;Joya del Oeste 614;Ecuador;Pacamara;grano;floral|té negro|frutal;900–1200 msnm
615;Puerta del Maíz 615;Honduras;Typica;molido;cítrico|floral|miel;1400–1800 msnm
616;Mística Andina 616;Colombia;Mundo Novo;cápsula;frutal|caramelo|vino tinto;1700–2100 msnm
617;Jaguar del Río Grande 617;Costa Rica;Maragogipe;molido;floral|jazmín|cítrico;1700–2100 msnm
618;Leyenda del Sol Naciente 618;Bolivia;Mundo Novo;grano;caramelo|nuez|chocolate;1600–2000 msnm
619;Puerta del Amanecer 619;Honduras;Bourbon;cápsula;floral|té negro|frutal;1400–1800 msnm
620;Joya del Ande 620;Bolivia;Castillo;cápsula;chocolate|nuez|vainilla;900–1200 msnm
621;Reserva del Cóndor 621;México;Caturra;grano;terroso|especias|chocolate;1500–1900 msnm
622;Cascada del Mar 622;Ecuador;Maragogipe;molido;panela|frutal|cacao;1200–1500 msnm
623;Cóndor del Nevado 623;Guatemala;Maragogipe;molido;frutal|chocolate|floral;1300–1600 msnm
624;Selva del Sur 624;Guatemala;Geisha;cápsula;frutal|miel|cítrico;1000–1400 msnm
625;Cóndor del Río Grande 625;México;Villalobos;molido;frutal|miel|cítrico;1500–1900 msnm
626;Flor del Cóndor 626;Guatemala;Villalobos;molido;floral|jazmín|cítrico;1200–1500 msnm
627;Estrella del Sur 627;Honduras;Bourbon;grano;cítrico|floral|miel;900–1200 msnm
628;Reserva del Ande 628;Guatemala;Pacamara;molido;caramelo|nuez|chocolate;1400–1800 msnm
629;Brisa del Este 629;Honduras;Mundo Novo;grano;cítrico|floral|miel;1500–1900 msnm
630;Ceiba del Trópico 630;Bolivia;Bourbon;grano;terroso|especias|chocolate;1600–2000 msnm
631;Cóndor del Trópico 631;Ecuador;Villalobos;cápsula;frutal|caramelo|vino tinto;1400–1800 msnm
632;Ceiba del Oro 632;Nicaragua;Catuai;cápsula;frutal|miel|cítrico;1600–2000 msnm
633;Cascada del Valle Sagrado 633;Perú;Catuai;cápsula;frutal|miel|cítrico;1700–2100 msnm
634;Raíces del Horizonte 634;Colombia;Villalobos;molido;frutal|caramelo|vino tinto;1700–2100 msnm
635;Altura del Amanecer 635;México;Caturra;molido;panela|frutal|cacao;1400–1800 msnm
636;Alma Dorada 636;Guatemala;Mundo Novo;molido;terroso|especias|chocolate;1400–1800 msnm
637;Cacao Tropical 637;Guatemala;Bourbon;cápsula;frutal|caramelo|vino tinto;1300–1600 msnm
638;Cedro del Oro 638;Colombia;Pacamara;grano;caramelo|nuez|chocolate;1400–1800 msnm
639;Brisa Real 639;Guatemala;Bourbon;molido;frutal|caramelo|vino tinto;1400–1800 msnm
640;Leyenda del Trueno 640;México;Bourbon;grano;panela|frutal|cacao;1500–1900 msnm
641;Camino del Río 641;Ecuador;Villalobos;grano;panela|frutal|cacao;1200–1500 msnm
642;Perla del Nevado 642;Colombia;Maragogipe;molido;floral|jazmín|cítrico;1600–2000 msnm
643;Sendero del Encanto Andino 643;Brasil;Bourbon;molido;frutal|miel|cítrico;1600–2000 msnm
644;Cacao del Río 644;Perú;Typica;grano;terroso|especias|chocolate;1700–2100 msnm
645;Cacao del Sol Naciente 645;El Salvador;Maragogipe;cápsula;frutal|caramelo|vino tinto;1700–2100 msnm
646;Aroma del Trueno 646;Costa Rica;Castillo;cápsula;floral|té negro|frutal;1000–1400 msnm
647;Río del Tesoro 647;Guatemala;Typica;cápsula;frutal|miel|cítrico;1200–1500 msnm
648;Selva Tropical 648;Guatemala;Maragogipe;cápsula;frutal|chocolate|floral;1400–1800 msnm
649;Valle del Valle Sagrado 649;Nicaragua;Castillo;cápsula;floral|jazmín|cítrico;1200–1500 msnm
650;Fuego del Mundo 650;Nicaragua;Pacamara;cápsula;panela|frutal|cacao;1700–2100 msnm
651;Cumbre del Nevado 651;Honduras;Pacamara;molido;panela|frutal|cacao;1600–2000 msnm
652;Mirador del Alba 652;Colombia;Catuai;grano;frutal|caramelo|vino tinto;1500–1900 msnm
653;Sendero del Horizonte 653;El Salvador;Pacamara;grano;floral|té negro|frutal;1600–2000 msnm
654;Rayo del Río 654;Ecuador;Bourbon;molido;cítrico|floral|miel;1300–1600 msnm
655;Horizonte del Espíritu 655;Honduras;Mundo Novo;cápsula;panela|frutal|cacao;1400–1800 msnm
656;Fuego del Corazón 656;Bolivia;Caturra;cápsula;panela|frutal|cacao;1300–1600 msnm
657;Alma del Valle Sagrado 657;Brasil;Caturra;cápsula;frutal|miel|cítrico;1200–1500 msnm
658;Corazón del Río 658;Brasil;Catuai;molido;terroso|especias|chocolate;1700–2100 msnm
659;Rincón Andina 659;Ecuador;Typica;cápsula;terroso|especias|chocolate;1600–2000 msnm
660;Brisa del Sol 660;Colombia;Catuai;cápsula;floral|jazmín|cítrico;900–1200 msnm
661;Mirador Dorada 661;Ecuador;Mundo Novo;grano;floral|jazmín|cítrico;1500–1900 msnm
662;Reserva Encantada 662;Brasil;Castillo;grano;floral|té negro|frutal;1400–1800 msnm
663;Selva del Volcán 663;Costa Rica;Bourbon;grano;floral|jazmín|cítrico;1000–1400 msnm
664;Corazón del Mundo 664;El Salvador;Catuai;molido;panela|frutal|cacao;1300–1600 msnm
665;Cedro del Camino 665;Ecuador;Caturra;cápsula;frutal|miel|cítrico;1700–2100 msnm
666;Sol del Mundo 666;Honduras;Catuai;grano;chocolate|nuez|vainilla;1700–2100 msnm
667;Trueno del Paraíso 667;Ecuador;Bourbon;molido;chocolate|nuez|vainilla;1300–1600 msnm
668;Joya Nevada 668;México;Maragogipe;grano;frutal|miel|cítrico;1300–1600 msnm
669;Mirador del Trópico 669;Brasil;Maragogipe;grano;frutal|caramelo|vino tinto;900–1200 msnm
670;Leyenda Nevada 670;México;Mundo Novo;cápsula;floral|jazmín|cítrico;1300–1600 msnm
671;Brisa del Trueno 671;Bolivia;Villalobos;grano;frutal|chocolate|floral;900–1200 msnm
672;Valle del Volcán 672;Brasil;Castillo;molido;frutal|chocolate|floral;900–1200 msnm
673;Horizonte del Bosque 673;El Salvador;Catuai;cápsula;caramelo|nuez|chocolate;1500–1900 msnm
674;Joya del Nevado 674;Nicaragua;Pacamara;molido;chocolate|nuez|vainilla;1500–1900 msnm
675;Sierra del Café Especial 675;Brasil;Geisha;cápsula;terroso|especias|chocolate;900–1200 msnm
676;Granito del Oro 676;Ecuador;Mundo Novo;cápsula;panela|frutal|cacao;1700–2100 msnm
677;Tesoro del Encanto 677;Colombia;Caturra;cápsula;frutal|chocolate|floral;1300–1600 msnm
678;Nube del Maíz 678;Honduras;Geisha;grano;panela|frutal|cacao;900–1200 msnm
679;Mística Verde 679;Colombia;Villalobos;grano;floral|té negro|frutal;1500–1900 msnm
680;Cedro del Horizonte Dorado 680;Costa Rica;Castillo;grano;chocolate|nuez|vainilla;1700–2100 msnm
681;Cedro del Corazón 681;El Salvador;Catuai;grano;chocolate|nuez|vainilla;1300–1600 msnm
682;Trueno del Sol 682;Guatemala;Bourbon;cápsula;floral|jazmín|cítrico;1600–2000 msnm
683;Brisa del Tesoro 683;Brasil;Mundo Novo;molido;floral|jazmín|cítrico;1700–2100 msnm
684;Camino del Sur 684;Bolivia;Mundo Novo;cápsula;floral|jazmín|cítrico;1300–1600 msnm
685;Raíces del Ande 685;Brasil;Bourbon;molido;cítrico|floral|miel;1200–1500 msnm
686;Valle Dorada 686;Nicaragua;Maragogipe;grano;cítrico|floral|miel;1400–1800 msnm
687;Rayo del Alba 687;Guatemala;Bourbon;grano;cítrico|floral|miel;1700–2100 msnm
688;Esencia del Espíritu 688;Nicaragua;Caturra;cápsula;terroso|especias|chocolate;1000–1400 msnm
689;Cacao del Café 689;Colombia;Catuai;molido;caramelo|nuez|chocolate;1500–1900 msnm
690;Luz del Mar 690;Ecuador;Maragogipe;cápsula;chocolate|nuez|vainilla;1500–1900 msnm
691;Brisa del Jaguar 691;Honduras;Mundo Novo;cápsula;cítrico|floral|miel;1300–1600 msnm
692;Travesía del Horizonte Azul 692;Brasil;Caturra;cápsula;floral|té negro|frutal;1200–1500 msnm
693;Joya Tropical 693;Colombia;Bourbon;grano;chocolate|nuez|vainilla;1200–1500 msnm
694;Alma del Ande 694;México;Mundo Novo;cápsula;frutal|caramelo|vino tinto;1600–2000 msnm
695;Altura del Oro 695;Honduras;Bourbon;cápsula;floral|jazmín|cítrico;1600–2000 msnm
696;Joya del Río 696;Brasil;Bourbon;cápsula;floral|té negro|frutal;1300–1600 msnm
697;Cosecha del Bosque Alto 697;Guatemala;Bourbon;molido;terroso|especias|chocolate;1200–1500 msnm
698;Travesía del Trueno 698;Bolivia;Maragogipe;grano;cítrico|floral|miel;1600–2000 msnm
699;Corazón Dorada 699;Perú;Maragogipe;grano;cítrico|floral|miel;1500–1900 msnm
700;Corazón del Camino 700;Ecuador;Villalobos;molido;cítrico|floral|miel;1000–1400 msnm
701;Cacao del Lago 701;México;Maragogipe;cápsula;floral|jazmín|cítrico;1000–1400 msnm
702;Montaña del Corazón 702;Colombia;Castillo;cápsula;panela|frutal|cacao;1700–2100 msnm
703;Jaguar del Camino 703;México;Maragogipe;molido;chocolate|nuez|vainilla;1200–1500 msnm
704;Luz del Río 704;Guatemala;Villalobos;grano;frutal|miel|cítrico;1200–1500 msnm
705;Flor del Viento 705;Brasil;Maragogipe;grano;panela|frutal|cacao;1500–1900 msnm
706;Río Nevada 706;El Salvador;Typica;grano;cítrico|floral|miel;1000–1400 msnm
707;Montaña del Río Grande 707;México;Villalobos;grano;frutal|caramelo|vino tinto;1300–1600 msnm
708;Cascada Verde 708;Colombia;Bourbon;grano;frutal|miel|cítrico;1700–2100 msnm
709;Cascada del Cacao 709;Ecuador;Typica;grano;caramelo|nuez|chocolate;1600–2000 msnm
710;Montaña del Espíritu 710;México;Caturra;molido;frutal|miel|cítrico;1700–2100 msnm
711;Quetzal del Horizonte 711;Guatemala;Pacamara;molido;panela|frutal|cacao;1400–1800 msnm
712;Luz del Sol 712;Honduras;Maragogipe;cápsula;caramelo|nuez|chocolate;1500–1900 msnm
713;Reserva del Mar 713;Nicaragua;Geisha;grano;panela|frutal|cacao;1600–2000 msnm
714;Montaña Real 714;Ecuador;Bourbon;grano;terroso|especias|chocolate;1000–1400 msnm
715;Camino del Bosque 715;Nicaragua;Catuai;molido;floral|té negro|frutal;900–1200 msnm
716;Sendero del Horizonte Azul 716;Ecuador;Mundo Novo;grano;frutal|chocolate|floral;1500–1900 msnm
717;Altura Verde 717;Nicaragua;Geisha;grano;floral|jazmín|cítrico;1600–2000 msnm
718;Vereda del Valle Sagrado 718;Perú;Bourbon;cápsula;chocolate|nuez|vainilla;1500–1900 msnm
719;Aroma del Espíritu 719;Colombia;Pacamara;cápsula;chocolate|nuez|vainilla;1300–1600 msnm
720;Ceiba del Paraíso 720;Colombia;Pacamara;cápsula;frutal|chocolate|floral;1700–2100 msnm
721;Travesía del Valle Sagrado 721;México;Maragogipe;cápsula;frutal|chocolate|floral;1400–1800 msnm
722;Camino del Café Especial 722;Honduras;Pacamara;grano;cítrico|floral|miel;1500–1900 msnm
723;Mística del Horizonte 723;Honduras;Villalobos;molido;caramelo|nuez|chocolate;1400–1800 msnm
724;Cascada del Café 724;El Salvador;Catuai;grano;frutal|miel|cítrico;1300–1600 msnm
725;Aurora del Río Grande 725;Costa Rica;Villalobos;molido;frutal|chocolate|floral;1300–1600 msnm
726;Selva del Amanecer 726;Bolivia;Castillo;grano;frutal|miel|cítrico;900–1200 msnm
727;Travesía del Encanto 727;Costa Rica;Geisha;grano;frutal|miel|cítrico;1600–2000 msnm
728;Guacamayo del Valle Sagrado 728;México;Villalobos;grano;cítrico|floral|miel;1600–2000 msnm
729;Altura del Sol 729;Guatemala;Mundo Novo;grano;frutal|caramelo|vino tinto;1700–2100 msnm
730;Flor del Volcán 730;Honduras;Catuai;grano;terroso|especias|chocolate;1000–1400 msnm
731;Vereda del Mundo 731;Honduras;Caturra;molido;caramelo|nuez|chocolate;1500–1900 msnm
732;Luz del Alba 732;Honduras;Catuai;cápsula;caramelo|nuez|chocolate;900–1200 msnm
733;Sendero Real 733;Guatemala;Castillo;molido;frutal|miel|cítrico;1300–1600 msnm
734;Rayo del Paraíso 734;El Salvador;Caturra;grano;caramelo|nuez|chocolate;1500–1900 msnm
735;Joya del Jaguar 735;Honduras;Geisha;cápsula;frutal|caramelo|vino tinto;1500–1900 msnm
736;Vereda Nevada 736;Honduras;Maragogipe;grano;caramelo|nuez|chocolate;1000–1400 msnm
737;Fuente del Nevado 737;Colombia;Castillo;cápsula;frutal|chocolate|floral;1700–2100 msnm
738;Altura del Café 738;El Salvador;Bourbon;molido;panela|frutal|cacao;1200–1500 msnm
739;Sierra del Cacao 739;Perú;Bourbon;molido;floral|té negro|frutal;1200–1500 msnm
740;Altura del Alba 740;Perú;Geisha;molido;panela|frutal|cacao;1500–1900 msnm
741;Selva del Tesoro 741;Nicaragua;Geisha;molido;chocolate|nuez|vainilla;1700–2100 msnm
742;Rayo Clásica 742;México;Bourbon;molido;chocolate|nuez|vainilla;1500–1900 msnm
743;Travesía Mística 743;Colombia;Villalobos;grano;frutal|chocolate|floral;1000–1400 msnm
744;Colibrí del Cacao 744;Costa Rica;Typica;molido;chocolate|nuez|vainilla;900–1200 msnm
745;Joya del Oro 745;Honduras;Typica;grano;cítrico|floral|miel;1000–1400 msnm
746;Corazón Verde 746;Costa Rica;Castillo;grano;terroso|especias|chocolate;1000–1400 msnm
747;Ceiba del Valle 747;El Salvador;Maragogipe;molido;floral|jazmín|cítrico;1300–1600 msnm
748;Brisa del Oeste 748;Guatemala;Mundo Novo;cápsula;panela|frutal|cacao;900–1200 msnm
749;Sendero Andina 749;El Salvador;Mundo Novo;cápsula;panela|frutal|cacao;1300–1600 msnm
750;Sierra Real 750;Bolivia;Typica;cápsula;floral|jazmín|cítrico;1000–1400 msnm
751;Brisa del Viento 751;Honduras;Geisha;molido;frutal|miel|cítrico;1500–1900 msnm
752;Jaguar del Corazón 752;Perú;Castillo;molido;cítrico|floral|miel;1600–2000 msnm
753;Ceiba del Mundo 753;El Salvador;Catuai;cápsula;panela|frutal|cacao;1700–2100 msnm
754;Reserva Mística 754;Guatemala;Geisha;molido;floral|jazmín|cítrico;1000–1400 msnm
755;Encanto Mística 755;Costa Rica;Villalobos;molido;chocolate|nuez|vainilla;1700–2100 msnm
756;Rayo del Bosque Alto 756;Honduras;Pacamara;grano;frutal|chocolate|floral;1200–1500 msnm
757;Selva del Lago 757;Costa Rica;Catuai;molido;frutal|chocolate|floral;1400–1800 msnm
758;Cedro Verde 758;Colombia;Bourbon;cápsula;frutal|chocolate|floral;1700–2100 msnm
759;Alma del Nevado 759;Bolivia;Pacamara;grano;cítrico|floral|miel;1700–2100 msnm
760;Fuego Dorada 760;Ecuador;Geisha;cápsula;frutal|miel|cítrico;1700–2100 msnm
761;Cacao del Este 761;El Salvador;Villalobos;grano;frutal|miel|cítrico;1500–1900 msnm
762;Aroma del Sol 762;Costa Rica;Bourbon;molido;frutal|chocolate|floral;1300–1600 msnm
763;Rincón Mística 763;México;Villalobos;grano;chocolate|nuez|vainilla;1700–2100 msnm
764;Tesoro del Oeste 764;Bolivia;Villalobos;molido;cítrico|floral|miel;1000–1400 msnm
765;Mirador del Café Especial 765;Perú;Castillo;grano;frutal|caramelo|vino tinto;1500–1900 msnm
766;Guacamayo del Oro 766;Bolivia;Villalobos;grano;chocolate|nuez|vainilla;1300–1600 msnm
767;Rayo del Sol 767;Perú;Catuai;molido;terroso|especias|chocolate;1000–1400 msnm
768;Flor del Espíritu 768;Colombia;Caturra;cápsula;cítrico|floral|miel;1500–1900 msnm
769;Fuente del Encanto 769;Ecuador;Catuai;molido;frutal|miel|cítrico;1000–1400 msnm
770;Nube del Sur 770;México;Mundo Novo;grano;frutal|chocolate|floral;1000–1400 msnm
771;Rayo del Trópico 771;México;Geisha;cápsula;frutal|chocolate|floral;1700–2100 msnm
772;Leyenda del Río 772;Ecuador;Bourbon;molido;caramelo|nuez|chocolate;1200–1500 msnm
773;Travesía del Valle 773;Bolivia;Mundo Novo;molido;floral|jazmín|cítrico;1200–1500 msnm
774;Montaña del Cacao 774;Honduras;Castillo;cápsula;chocolate|nuez|vainilla;1200–1500 msnm
775;Tesoro del Norte 775;Ecuador;Catuai;molido;frutal|miel|cítrico;900–1200 msnm
776;Aroma del Jaguar 776;Colombia;Typica;cápsula;frutal|miel|cítrico;1400–1800 msnm
777;Trueno del Corazón 777;Bolivia;Villalobos;cápsula;cítrico|floral|miel;1300–1600 msnm
778;Joya del Alba 778;El Salvador;Geisha;cápsula;frutal|chocolate|floral;900–1200 msnm
779;Trueno Tropical 779;Honduras;Caturra;molido;caramelo|nuez|chocolate;1200–1500 msnm
780;Quetzal del Este 780;México;Pacamara;grano;frutal|chocolate|floral;900–1200 msnm
